Frame,Mode,Latency(s),Num_Objects
146,EDGE,0.032431840896606445,1
147,EDGE,0.032546043395996094,2
148,EDGE,0.0330500602722168,2
149,EDGE,0.03274226188659668,2
150,EDGE,0.03299975395202637,2
151,EDGE,0.03314614295959473,2
152,EDGE,0.03241610527038574,2
153,EDGE,0.03342700004577637,2
154,EDGE,0.03213095664978027,1
155,EDGE,0.03294014930725098,1
156,EDGE,0.032646894454956055,2
157,EDGE,0.032964229583740234,2
158,EDGE,0.032753944396972656,2
159,EDGE,0.03348898887634277,2
160,EDGE,0.03270983695983887,2
161,EDGE,0.03317880630493164,2
162,EDGE,0.03319907188415527,2
163,EDGE,0.032592058181762695,2
164,EDGE,0.03272509574890137,3
165,EDGE,0.03301882743835449,2
166,EDGE,0.03282785415649414,3
167,EDGE,0.032629966735839844,2
168,EDGE,0.03210186958312988,2
169,EDGE,0.0330808162689209,2
170,EDGE,0.03299403190612793,2
171,EDGE,0.0327911376953125,2
172,EDGE,0.0333409309387207,2
173,EDGE,0.033117055892944336,2
174,EDGE,0.03257179260253906,2
175,EDGE,0.03310966491699219,2
176,EDGE,0.03319907188415527,2
177,EDGE,0.03290510177612305,2
178,EDGE,0.03303194046020508,2
179,EDGE,0.03316307067871094,2
180,EDGE,0.032922983169555664,2
181,EDGE,0.03309893608093262,2
182,EDGE,0.03304910659790039,3
183,EDGE,0.0329437255859375,2
184,EDGE,0.033132076263427734,3
185,EDGE,0.03296685218811035,2
186,EDGE,0.032981157302856445,2
187,EDGE,0.032471656799316406,2
188,EDGE,0.033110857009887695,3
189,EDGE,0.032933950424194336,3
190,EDGE,0.033029794692993164,2
191,EDGE,0.033090829849243164,2
192,EDGE,0.03311324119567871,2
193,EDGE,0.033264875411987305,2
194,EDGE,0.03322792053222656,3
195,EDGE,0.033236026763916016,3
196,EDGE,0.033148765563964844,3
197,EDGE,0.03340005874633789,3
198,CLOUD,0.03312397003173828,4
199,CLOUD,0.056684017181396484,4
200,EDGE,0.05391883850097656,3
201,EDGE,0.03717613220214844,3
202,EDGE,0.034097909927368164,3
203,EDGE,0.03379702568054199,3
204,EDGE,0.03283405303955078,3
205,EDGE,0.03266787528991699,3
206,EDGE,0.03304600715637207,3
207,EDGE,0.032362937927246094,3
208,EDGE,0.03203988075256348,3
209,EDGE,0.03200101852416992,3
210,EDGE,0.03244495391845703,3
211,EDGE,0.032438039779663086,3
212,EDGE,0.03247690200805664,3
213,EDGE,0.03260993957519531,3
214,EDGE,0.03267097473144531,3
215,EDGE,0.03216409683227539,3
216,EDGE,0.03247690200805664,3
217,EDGE,0.03272294998168945,3
218,EDGE,0.03226900100708008,3
219,EDGE,0.03269004821777344,3
220,EDGE,0.03288006782531738,3
221,EDGE,0.03274106979370117,3
222,EDGE,0.03292417526245117,3
223,EDGE,0.03281688690185547,3
224,EDGE,0.03304910659790039,3
225,EDGE,0.03271985054016113,3
226,EDGE,0.03275108337402344,3
227,EDGE,0.032473087310791016,3
228,EDGE,0.03285408020019531,3
229,EDGE,0.03241372108459473,3
230,EDGE,0.03310203552246094,3
231,EDGE,0.03288388252258301,3
232,EDGE,0.03250885009765625,3
233,EDGE,0.033045053482055664,3
234,EDGE,0.03275895118713379,3
235,EDGE,0.03259873390197754,3
236,EDGE,0.03300023078918457,3
237,CLOUD,0.03309202194213867,4
238,EDGE,0.05334138870239258,3
239,EDGE,0.03521370887756348,1
240,EDGE,0.03267812728881836,2
241,EDGE,0.03252291679382324,1
242,EDGE,0.03273773193359375,3
243,CLOUD,0.03319287300109863,5
244,EDGE,0.054901838302612305,3
245,EDGE,0.035755157470703125,2
246,EDGE,0.03288698196411133,3
247,CLOUD,0.033370256423950195,4
248,CLOUD,0.0542600154876709,5
249,CLOUD,0.052874088287353516,6
250,CLOUD,0.052950143814086914,5
251,CLOUD,0.0538332462310791,5
252,CLOUD,0.055030107498168945,5
253,CLOUD,0.05383706092834473,6
254,EDGE,0.054512977600097656,1
255,EDGE,0.03658604621887207,1
256,EDGE,0.03242206573486328,1
257,EDGE,0.032525062561035156,2
258,EDGE,0.03272604942321777,1
259,EDGE,0.03255510330200195,1
260,EDGE,0.03455471992492676,1
261,EDGE,0.032141923904418945,1
262,EDGE,0.03200507164001465,1
263,EDGE,0.032067060470581055,1
264,EDGE,0.03253507614135742,1
265,EDGE,0.03186607360839844,1
266,EDGE,0.032079219818115234,1
267,EDGE,0.033164024353027344,1
268,EDGE,0.03246474266052246,1
269,EDGE,0.03173398971557617,1
270,EDGE,0.03194785118103027,1
271,EDGE,0.03221726417541504,1
272,EDGE,0.032180070877075195,1
273,EDGE,0.032440185546875,1
274,EDGE,0.03261232376098633,1
275,EDGE,0.03228592872619629,1
276,EDGE,0.03251504898071289,1
277,EDGE,0.03258228302001953,1
278,EDGE,0.03266787528991699,1
279,EDGE,0.032531023025512695,1
280,EDGE,0.03201794624328613,1
281,EDGE,0.03404498100280762,1
282,EDGE,0.03457903861999512,1
283,EDGE,0.03487992286682129,1
284,EDGE,0.03133797645568848,1
285,EDGE,0.03249001502990723,1
286,EDGE,0.03223109245300293,1
287,EDGE,0.03158092498779297,1
288,EDGE,0.0325620174407959,1
289,EDGE,0.03236198425292969,1
290,EDGE,0.031622886657714844,1
291,EDGE,0.03216195106506348,1
292,EDGE,0.03166913986206055,1
293,EDGE,0.03143596649169922,1
294,EDGE,0.03256511688232422,1
295,EDGE,0.03172802925109863,1
296,EDGE,0.030766010284423828,1
297,EDGE,0.03233933448791504,1
298,EDGE,0.03215503692626953,1
299,EDGE,0.03242087364196777,1
300,EDGE,0.03235793113708496,1
301,EDGE,0.03210330009460449,1
302,EDGE,0.03165793418884277,1
303,EDGE,0.03212881088256836,1
304,EDGE,0.031378984451293945,1
305,EDGE,0.032052040100097656,1
306,EDGE,0.03169417381286621,1
307,EDGE,0.03289079666137695,1
308,EDGE,0.03166484832763672,1
309,EDGE,0.0323789119720459,1
310,EDGE,0.03162813186645508,1
311,EDGE,0.03273582458496094,1
312,EDGE,0.03160500526428223,1
313,EDGE,0.03188300132751465,1
314,EDGE,0.03226494789123535,1
315,EDGE,0.032131195068359375,1
316,EDGE,0.03235197067260742,1
317,EDGE,0.0326390266418457,1
318,EDGE,0.03190493583679199,1
319,EDGE,0.031890869140625,1
320,EDGE,0.03185915946960449,1
